id,lat,lng,category,source
potential-map2-0204,50.40139,-4.18248,undifferentiated,1940s-map
potential-map2-0205,50.40140,-4.15033,undifferentiated,1940s-map
potential-map2-0206,50.40123,-4.20647,undifferentiated,1940s-map
potential-map2-0207,50.40114,-4.19825,undifferentiated,1940s-map
potential-map2-0208,50.40112,-4.15553,undifferentiated,1940s-map
potential-map2-0209,50.40093,-4.19191,undifferentiated,1940s-map
potential-map2-0210,50.40043,-4.19132,undifferentiated,1940s-map
potential-map2-0211,50.39992,-4.19082,undifferentiated,1940s-map
potential-map2-0212,50.40100,-4.10233,undifferentiated,1940s-map
potential-map2-0213,50.40105,-4.10098,undifferentiated,1940s-map
potential-map2-0214,50.40090,-4.12294,undifferentiated,1940s-map
potential-map2-0215,50.40069,-4.19815,undifferentiated,1940s-map
potential-map2-0216,50.40082,-4.12201,undifferentiated,1940s-map
potential-map2-0217,50.40023,-4.20806,undifferentiated,1940s-map
potential-map2-0218,50.40027,-4.09932,undifferentiated,1940s-map
potential-map2-0219,50.40004,-4.16878,undifferentiated,1940s-map
potential-map2-0220,50.40016,-4.12326,undifferentiated,1940s-map
potential-map2-0221,50.40014,-4.12212,undifferentiated,1940s-map
potential-map2-0222,50.40000,-4.12894,undifferentiated,1940s-map
potential-map2-0223,50.39987,-4.15018,undifferentiated,1940s-map
potential-map2-0224,50.39986,-4.14906,undifferentiated,1940s-map
potential-map2-0225,50.39970,-4.20780,undifferentiated,1940s-map
potential-map2-0226,50.39970,-4.17190,undifferentiated,1940s-map
potential-map2-0227,50.39969,-4.15126,undifferentiated,1940s-map
potential-map2-0228,50.39977,-4.11035,undifferentiated,1940s-map
potential-map2-0229,50.39941,-4.16784,undifferentiated,1940s-map
potential-map2-0230,50.39950,-4.11882,undifferentiated,1940s-map
potential-map2-0231,50.39940,-4.12309,undifferentiated,1940s-map
potential-map2-0232,50.39934,-4.11798,undifferentiated,1940s-map
potential-map2-0233,50.39916,-4.15011,undifferentiated,1940s-map
potential-map2-0234,50.39926,-4.12194,undifferentiated,1940s-map
potential-map2-0235,50.39911,-4.12967,undifferentiated,1940s-map
potential-map2-0236,50.39891,-4.17159,undifferentiated,1940s-map
potential-map2-0237,50.39883,-4.16677,undifferentiated,1940s-map
potential-map2-0238,50.39887,-4.15098,undifferentiated,1940s-map
potential-map2-0239,50.39890,-4.14645,undifferentiated,1940s-map
potential-map2-0240,50.39888,-4.13879,undifferentiated,1940s-map
potential-map2-0241,50.39882,-4.18945,undifferentiated,1940s-map
potential-map2-0242,50.39872,-4.11891,undifferentiated,1940s-map
potential-map2-0243,50.39850,-4.14983,undifferentiated,1940s-map
potential-map2-0244,50.39863,-4.12219,undifferentiated,1940s-map
potential-map2-0245,50.39845,-4.15072,undifferentiated,1940s-map
potential-map2-0246,50.39844,-4.13087,undifferentiated,1940s-map
potential-map2-0247,50.39842,-4.12355,undifferentiated,1940s-map
potential-map2-0248,50.39833,-4.14505,undifferentiated,1940s-map
potential-map2-0249,50.39814,-4.17194,undifferentiated,1940s-map
potential-map2-0250,50.39812,-4.17050,undifferentiated,1940s-map
potential-map2-0251,50.39807,-4.16898,undifferentiated,1940s-map
potential-map2-0252,50.39808,-4.15570,undifferentiated,1940s-map
potential-map2-0253,50.39801,-4.13239,undifferentiated,1940s-map
potential-map2-0254,50.39777,-4.18947,undifferentiated,1940s-map
potential-map2-0255,50.39788,-4.14667,undifferentiated,1940s-map
potential-map2-0256,50.39791,-4.11883,undifferentiated,1940s-map
potential-map2-0257,50.39773,-4.14145,undifferentiated,1940s-map
potential-map2-0258,50.39763,-4.18662,undifferentiated,1940s-map
potential-map2-0259,50.39742,-4.18582,undifferentiated,1940s-map
potential-map2-0260,50.39746,-4.10490,undifferentiated,1940s-map
potential-map2-0261,50.39728,-4.15397,undifferentiated,1940s-map
potential-map2-0262,50.39724,-4.14516,undifferentiated,1940s-map
potential-map2-0263,50.39712,-4.14437,undifferentiated,1940s-map
potential-map2-0264,50.39710,-4.11877,undifferentiated,1940s-map
potential-map2-0265,50.39679,-4.16994,undifferentiated,1940s-map
potential-map2-0266,50.39686,-4.13824,undifferentiated,1940s-map
potential-map2-0267,50.39640,-4.13745,undifferentiated,1940s-map
potential-map2-0268,50.39678,-4.13769,undifferentiated,1940s-map
potential-map2-0269,50.39673,-4.18568,undifferentiated,1940s-map
potential-map2-0270,50.39683,-4.14530,undifferentiated,1940s-map
potential-map2-0271,50.39667,-4.16306,undifferentiated,1940s-map
potential-map2-0272,50.39667,-4.13990,undifferentiated,1940s-map
potential-map2-0273,50.39654,-4.16441,undifferentiated,1940s-map
potential-map2-0274,50.39661,-4.13334,undifferentiated,1940s-map
potential-map2-0275,50.39643,-4.13380,undifferentiated,1940s-map
potential-map2-0276,50.39661,-4.11865,undifferentiated,1940s-map
potential-map2-0277,50.39668,-4.07707,undifferentiated,1940s-map
potential-map2-0278,50.39647,-4.14659,undifferentiated,1940s-map
potential-map2-0279,50.39634,-4.16584,undifferentiated,1940s-map
potential-map2-0280,50.39626,-4.17027,undifferentiated,1940s-map
potential-map2-0281,50.39635,-4.13866,undifferentiated,1940s-map
potential-map2-0282,50.39621,-4.15155,undifferentiated,1940s-map
potential-map2-0283,50.39623,-4.13490,undifferentiated,1940s-map
potential-map2-0284,50.39608,-4.18462,undifferentiated,1940s-map
potential-map2-0285,50.39619,-4.14549,undifferentiated,1940s-map
potential-map2-0286,50.39614,-4.13956,undifferentiated,1940s-map
potential-map2-0287,50.39616,-4.13654,undifferentiated,1940s-map
potential-map2-0288,50.39603,-4.14743,undifferentiated,1940s-map
potential-map2-0289,50.39605,-4.14250,undifferentiated,1940s-map
potential-map2-0290,50.39588,-4.17206,undifferentiated,1940s-map
potential-map2-0291,50.39601,-4.13565,undifferentiated,1940s-map
potential-map2-0292,50.39596,-4.13393,undifferentiated,1940s-map
potential-map2-0293,50.39588,-4.13275,undifferentiated,1940s-map
potential-map2-0294,50.39575,-4.17442,undifferentiated,1940s-map
potential-map2-0295,50.39576,-4.17323,undifferentiated,1940s-map
potential-map2-0296,50.39579,-4.14182,undifferentiated,1940s-map
potential-map2-0297,50.39585,-4.13467,undifferentiated,1940s-map
potential-map2-0298,50.39561,-4.16658,undifferentiated,1940s-map
potential-map2-0299,50.39579,-4.10877,undifferentiated,1940s-map
potential-map2-0300,50.39554,-4.17546,undifferentiated,1940s-map
potential-map2-0301,50.39563,-4.14087,undifferentiated,1940s-map
potential-map2-0302,50.39569,-4.13339,undifferentiated,1940s-map
potential-map2-0303,50.39543,-4.18355,undifferentiated,1940s-map
potential-map2-0304,50.39548,-4.16951,undifferentiated,1940s-map
potential-map2-0305,50.39553,-4.14654,undifferentiated,1940s-map
potential-map2-0306,50.39556,-4.14379,undifferentiated,1940s-map
potential-map2-0307,50.39552,-4.13524,undifferentiated,1940s-map
potential-map2-0308,50.39536,-4.18222,undifferentiated,1940s-map
potential-map2-0309,50.39535,-4.17670,undifferentiated,1940s-map
potential-map2-0310,50.39545,-4.14555,undifferentiated,1940s-map
potential-map2-0311,50.39543,-4.13984,undifferentiated,1940s-map
potential-map2-0312,50.39542,-4.13439,undifferentiated,1940s-map
potential-map2-0313,50.39526,-4.17229,undifferentiated,1940s-map
potential-map2-0314,50.39527,-4.16692,undifferentiated,1940s-map
potential-map2-0315,50.39536,-4.07697,undifferentiated,1940s-map
